"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"GO:0006629"	9.6955701549816e-06	2.28948580687179	19.3914699162224	40	1107	"lipid metabolic process"
"2"	"GO:0009084"	8.02980698399153e-05	22.75	0.245239908606245	4	14	"glutamine family amino acid biosynthetic process"
"3"	"GO:0015979"	9.00732388674386e-05	3.41774425287356	4.74714394516375	15	271	"photosynthesis"
"4"	"GO:0044281"	0.000177498277332386	2.23380697738974	14.048743335872	29	802	"small molecule metabolic process"
"5"	"GO:0008152"	0.000361454965097406	1.63722909944453	192.706016755522	218	11001	"metabolic process"
"6"	"GO:1901605"	0.000370631636460151	4.99286177806619	1.75171363290175	8	100	"alpha-amino acid metabolic process"
"7"	"GO:0044262"	0.000385811499936332	3.45522388059702	3.73115003808073	12	213	"cellular carbohydrate metabolic process"
"8"	"GO:0034637"	0.00076894639971983	3.98012100259291	2.43488194973343	9	139	"cellular carbohydrate biosynthetic process"
"9"	"GO:0006520"	0.000855669449269964	3.13842040312629	4.08149276466108	12	233	"cellular amino acid metabolic process"
"10"	"GO:0033692"	0.000888539649235604	4.32948465221064	1.996953541508	8	114	"cellular polysaccharide biosynthetic process"
"11"	"GO:0000271"	0.000888539649235604	4.32948465221064	1.996953541508	8	114	"polysaccharide biosynthetic process"
