"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"GO:0072348"	8.76176093749852e-07	26.8327282157676	0.677900482355928	7	11	"sulfur compound transport"
"2"	"GO:0008272"	8.76176093749852e-07	26.8327282157676	0.677900482355928	7	11	"sulfate transport"
"3"	"GO:0055085"	5.24759631682769e-06	1.80899901830685	46.775133282559	78	759	"transmembrane transport"
"4"	"GO:0006520"	6.49038756351408e-06	2.56559168443497	14.3591647626301	33	233	"cellular amino acid metabolic process"
"5"	"GO:0006820"	1.99099477242543e-05	3.41119063904632	6.47086824067022	19	105	"anion transport"
"6"	"GO:0019748"	4.99991014109442e-05	1.95552588477238	26.5613734450368	48	431	"secondary metabolic process"
"7"	"GO:0015698"	9.53838661445988e-05	6.0046099611317	1.97207413048997	9	32	"inorganic anion transport"
"8"	"GO:0043436"	0.000376685821180553	1.77432363227419	28.9032114749937	48	469	"oxoacid metabolic process"
"9"	"GO:0006082"	0.000414684646158183	1.76568851186771	29.0264661081493	48	471	"organic acid metabolic process"
"10"	"GO:0044281"	0.000491661338560009	1.56740325246471	49.4251078954049	73	802	"small molecule metabolic process"
"11"	"GO:0070647"	0.000560567246721129	2.54594446474242	8.25806042142676	19	134	"protein modification by small protein conjugation or removal"
"12"	"GO:0019752"	0.000644317465944505	1.74795744399656	28.0404290429043	46	455	"carboxylic acid metabolic process"
