"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"GO:0009628"	1.84202751928854e-05	1.42330536213771	149.599390708302	197	2064	"response to abiotic stimulus"
"2"	"GO:0055114"	0.000207885282786761	1.42330909462384	103.284463061691	138	1425	"oxidation-reduction process"
"3"	"GO:0006694"	0.000212462956703031	2.90938612099644	7.1030718456461	18	98	"steroid biosynthetic process"
"4"	"GO:0008202"	0.000242404039360959	2.87327006722025	7.17555217060168	18	99	"steroid metabolic process"
"5"	"GO:0006857"	0.000264745402128674	3.08517801754991	6.01586697131252	16	83	"oligopeptide transport"
"6"	"GO:0019748"	0.000357803491949992	1.75101066139225	31.2390200558517	51	431	"secondary metabolic process"
"7"	"GO:0030091"	0.000365771466815438	25.6801405975395	0.434881949733435	4	6	"protein repair"
"8"	"GO:0072348"	0.000632850504999895	10.7065376722369	0.797283574511297	5	11	"sulfur compound transport"
"9"	"GO:0008272"	0.000632850504999895	10.7065376722369	0.797283574511297	5	11	"sulfate transport"
"10"	"GO:0055085"	0.000666224353007777	1.52286259753196	55.0125666412795	79	759	"transmembrane transport"
