"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"GO:0055114"	1.78967048714895e-10	1.86111111111111	91.8888042650419	152	1425	"oxidation-reduction process"
"2"	"GO:0019748"	7.29228833701158e-08	2.33195273889414	27.7923330794618	58	431	"secondary metabolic process"
"3"	"GO:0009628"	1.80509236432837e-07	1.5680677146312	133.093678598629	189	2064	"response to abiotic stimulus"
"4"	"GO:0050896"	5.17886656809204e-07	1.3995927030748	305.264280274181	376	4734	"response to stimulus"
"5"	"GO:0006915"	2.92374590716461e-05	1.99005995671363	26.7605991368368	49	415	"apoptotic process"
"6"	"GO:0012501"	3.5259046307086e-05	1.97346863851265	26.954049251079	49	418	"programmed cell death"
"7"	"GO:0009607"	4.26165776841624e-05	1.61895637539666	61.001269357705	92	946	"response to biotic stimulus"
"8"	"GO:1901605"	6.34859788614849e-05	3.22405787184124	6.44833714140645	18	100	"alpha-amino acid metabolic process"
"9"	"GO:0008219"	0.000311338186416534	1.66415397074072	39.7217567910637	62	616	"cell death"
"10"	"GO:0044281"	0.000437026989054433	1.56067053513862	51.7156638740797	76	802	"small molecule metabolic process"
"11"	"GO:0006520"	0.000506722880430808	2.09360907483561	15.024625539477	29	233	"cellular amino acid metabolic process"
"12"	"GO:0009767"	0.000670996903160176	7.29108910891089	1.16070068545316	6	18	"photosynthetic electron transport chain"
