"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"GO:0015979"	2.19465103082455e-08	2.79728579168709	18.472581873572	45	271	"photosynthesis"
"2"	"GO:0071840"	3.99585495591395e-06	1.51917914848114	116.561309977152	163	1710	"cellular component organization or biogenesis"
"3"	"GO:0016043"	2.69461623102993e-05	1.47501895843253	110.971820258949	152	1628	"cellular component organization"
"4"	"GO:0034660"	3.56486925488834e-05	2.6035100286533	11.6561309977152	27	171	"ncRNA metabolic process"
"5"	"GO:0043631"	6.3948260493217e-05	13.7415730337079	0.817974105102818	6	12	"RNA polyadenylation"
"6"	"GO:0031167"	6.86250413748845e-05	22.8858746492049	0.545316070068545	5	8	"rRNA methylation"
"7"	"GO:0006378"	0.000101548550942254	54.8822429906542	0.340822543792841	4	5	"mRNA polyadenylation"
"8"	"GO:0034470"	0.000275335125778327	2.82683367768595	7.22543792840823	18	106	"ncRNA processing"
"9"	"GO:0006091"	0.000315187497627468	1.87444096601073	24.1302361005331	42	354	"generation of precursor metabolites and energy"
"10"	"GO:0031325"	0.000900654472648921	6.86797752808989	1.22696115765423	6	18	"positive regulation of cellular metabolic process"
"11"	"GO:0009893"	0.000900654472648921	6.86797752808989	1.22696115765423	6	18	"positive regulation of metabolic process"
