"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"GO:0022900"	4.25280294495278e-06	5.17649110568539	3.36049758822036	14	61	"electron transport chain"
"2"	"GO:0055114"	9.91408263181853e-06	1.60017798221803	78.5034272658035	116	1425	"oxidation-reduction process"
"3"	"GO:0006915"	1.08700817319166e-05	2.14544678335687	22.8624016247779	45	415	"apoptotic process"
"4"	"GO:0008219"	1.1940049788314e-05	1.91413206068808	33.9355166285859	60	616	"cell death"
"5"	"GO:0012501"	1.30620069228521e-05	2.12775140970555	23.027671997969	45	418	"programmed cell death"
"6"	"GO:0009767"	2.79936429635314e-05	10.9955654101996	0.991622239146992	7	18	"photosynthetic electron transport chain"
"7"	"GO:0017144"	0.000225380904391318	2.27694773303004	12.8910891089109	27	234	"drug metabolic process"
"8"	"GO:0044281"	0.000246512998065494	1.63908719346049	44.1822797664382	68	802	"small molecule metabolic process"
"9"	"GO:0009199"	0.000268388649182838	2.70862538376875	7.76770753998477	19	141	"ribonucleoside triphosphate metabolic process"
"10"	"GO:0009144"	0.000268388649182838	2.70862538376875	7.76770753998477	19	141	"purine nucleoside triphosphate metabolic process"
"11"	"GO:0009205"	0.000268388649182838	2.70862538376875	7.76770753998477	19	141	"purine ribonucleoside triphosphate metabolic process"
"12"	"GO:0006694"	0.000290716088605743	3.13669684600065	5.3988321909114	15	98	"steroid biosynthetic process"
"13"	"GO:0009141"	0.000294216599957574	2.68642209390292	7.82279766438182	19	142	"nucleoside triphosphate metabolic process"
"14"	"GO:0006952"	0.000303426316447469	3.71295060080107	3.74612845899975	12	68	"defense response"
"15"	"GO:0008202"	0.000325530231573303	3.09914587171328	5.45392231530845	15	99	"steroid metabolic process"
"16"	"GO:0009117"	0.000328212598969108	2.25630753595443	12.5054582381315	26	227	"nucleotide metabolic process"
"17"	"GO:0009167"	0.000385140578172485	2.62192682334025	7.98806803757299	19	145	"purine ribonucleoside monophosphate metabolic process"
"18"	"GO:0009126"	0.000385140578172485	2.62192682334025	7.98806803757299	19	145	"purine nucleoside monophosphate metabolic process"
"19"	"GO:0046034"	0.000400555738936411	2.6967139959432	7.38207666920538	18	134	"ATP metabolic process"
"20"	"GO:0009161"	0.00045852010012411	2.58060954063604	8.0982482863671	19	147	"ribonucleoside monophosphate metabolic process"
"21"	"GO:0006753"	0.000460377135075768	2.20079330304638	12.7809088601168	26	232	"nucleoside phosphate metabolic process"
"22"	"GO:0019748"	0.000462964646802489	1.84298514866834	23.7438436151307	41	431	"secondary metabolic process"
"23"	"GO:0009123"	0.000499550054503023	2.56043133280375	8.15333841076415	19	148	"nucleoside monophosphate metabolic process"
"24"	"GO:0050896"	0.000505193665758342	1.27931039046299	260.796648895659	305	4734	"response to stimulus"
"25"	"GO:0006163"	0.000599443621480488	2.38778155890455	9.58568164508759	21	174	"purine nucleotide metabolic process"
"26"	"GO:0009056"	0.000917339047852477	1.41482906756332	82.3597359735974	110	1495	"catabolic process"
"27"	"GO:0009150"	0.000951638140784646	2.34892911779704	9.25514089870526	20	168	"purine ribonucleotide metabolic process"
"28"	"GO:0009628"	0.000985074096528888	1.35538046051821	113.706016755522	145	2064	"response to abiotic stimulus"
