"GOBPID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"1"	"GO:0009765"	3.14428914994633e-13	35.7551867219917	1.24143183549124	14	20	"photosynthesis, light harvesting"
"2"	"GO:0019684"	5.54540373168052e-10	9.31878995094396	2.79322162985529	17	45	"photosynthesis, light reaction"
"3"	"GO:0015979"	2.8119608799975e-07	2.68545952980921	16.8214013709063	40	271	"photosynthesis"
"4"	"GO:0043631"	3.76321646151939e-05	15.1975308641975	0.744859101294745	6	12	"RNA polyadenylation"
"5"	"GO:0006378"	7.01466092301747e-05	60.6858316221766	0.31035795887281	4	5	"mRNA polyadenylation"
"6"	"GO:0006091"	0.000177131975098058	1.96433664253799	21.973343488195	40	354	"generation of precursor metabolites and energy"
"7"	"GO:0031123"	0.000771365085342969	9.48741007194245	0.806930693069307	5	13	"RNA 3'-end processing"
"8"	"GO:0031167"	0.00084396766335037	15.1683778234086	0.496572734196497	4	8	"rRNA methylation"
"9"	"GO:0090501"	0.000909589134107529	45.4676923076923	0.248286367098248	3	4	"RNA phosphodiester bond hydrolysis"
"10"	"GO:0006379"	0.000909589134107529	45.4676923076923	0.248286367098248	3	4	"mRNA cleavage"
